Symbol,Name,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,Apple Inc.,02/05/2022,156.710007,158.229996,153.270004,157.960007,157.248611,123055300
AAPL,Apple Inc.,03/05/2022,158.149994,160.710007,156.320007,159.479996,158.761765,88966500
AAPL,Apple Inc.,04/05/2022,159.669998,166.479996,159.259995,166.020004,165.272308,108256500
AAPL,Apple Inc.,05/05/2022,163.850006,164.080002,154.949997,156.770004,156.06398,130525300
AAPL,Apple Inc.,06/05/2022,156.009995,159.440002,154.179993,157.279999,156.801727,116124600
AAPL,Apple Inc.,09/05/2022,154.929993,155.830002,151.490005,152.059998,151.597595,131577900
AAPL,Apple Inc.,10/05/2022,155.520004,156.740005,152.929993,154.509995,154.040131,115366700
AAPL,Apple Inc.,11/05/2022,153.5,155.449997,145.809998,146.5,146.054504,142689800
AAPL,Apple Inc.,12/05/2022,142.770004,146.199997,138.800003,142.559998,142.12648,182602000
AAPL,Apple Inc.,13/05/2022,144.589996,148.100006,143.110001,147.110001,146.662643,113990900
AAPL,Apple Inc.,16/05/2022,145.550003,147.520004,144.179993,145.539993,145.097412,86643800
AAPL,Apple Inc.,17/05/2022,148.860001,149.770004,146.679993,149.240005,148.786179,78336300
AAPL,Apple Inc.,18/05/2022,146.850006,147.360001,139.899994,140.820007,140.391785,109742900
AAPL,Apple Inc.,19/05/2022,139.880005,141.660004,136.600006,137.350006,136.932343,136095600
AAPL,Apple Inc.,20/05/2022,139.089996,140.699997,132.610001,137.589996,137.1716,137426100
AAPL,Apple Inc.,23/05/2022,137.789993,143.259995,137.649994,143.110001,142.67482,117726300
AAPL,Apple Inc.,24/05/2022,140.809998,141.970001,137.330002,140.360001,139.933182,104132700
AAPL,Apple Inc.,25/05/2022,138.429993,141.789993,138.339996,140.520004,140.092697,92482700
AAPL,Apple Inc.,26/05/2022,137.389999,144.339996,137.139999,143.779999,143.342773,90601500
AAPL,Apple Inc.,27/05/2022,145.389999,149.679993,145.259995,149.639999,149.184952,90978500
AAPL,Apple Inc.,31/05/2022,149.070007,150.660004,146.839996,148.839996,148.38739,103718400
AAPL,Apple Inc.,01/06/2022,149.899994,151.740005,147.679993,148.710007,148.257797,74286600
AAPL,Apple Inc.,02/06/2022,147.830002,151.270004,146.860001,151.210007,150.750183,72348100
AAPL,Apple Inc.,03/06/2022,146.899994,147.970001,144.460007,145.380005,144.937912,88570300
AAPL,Apple Inc.,06/06/2022,147.029999,148.570007,144.899994,146.139999,145.695602,71598400
AAPL,Apple Inc.,07/06/2022,144.350006,149,144.100006,148.710007,148.257797,67808200
AAPL,Apple Inc.,08/06/2022,148.580002,149.869995,147.460007,147.960007,147.510071,53950200
AAPL,Apple Inc.,09/06/2022,147.080002,147.949997,142.529999,142.639999,142.206253,69473000
AAPL,Apple Inc.,10/06/2022,140.279999,140.759995,137.059998,137.130005,136.713013,91437900
AAPL,Apple Inc.,13/06/2022,132.869995,135.199997,131.440002,131.880005,131.478958,122207100
